run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
3743fca2-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,50,10,0.7,10,0.9983471632003784,80,2252
3743fce8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,50,10,0.7,10,0.9902194142341614,160,3236
3743fd4c-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.3,1,1.2783087491989136,71,1335
3743fd92-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.3,1,0.9985845685005188,17,325
3743fdd8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.3,1,0.9962658882141113,38,670
3743fe1e-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.3,3,1.2772674560546875,57,1013
3743fe78-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.3,3,0.9985849261283875,23,421
374401f2-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.3,3,0.9958287477493286,43,915
3744026a-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.3,5,1.255994439125061,66,1092
374402ba-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.3,5,0.9987087249755859,36,900
37440300-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.3,5,0.9948395490646362,56,1050
37440346-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.3,10,1.259727120399475,67,1345
3744038c-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.3,10,0.9990821480751038,48,1128
374403d2-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.3,10,0.9947940707206726,44,974
37440418-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.5,1,1.2480823993682861,116,2542
37440472-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.5,1,0.9983806610107422,26,544
